lineage_1,lineage_2,celltype_1,celltype_2
CAFs,CAFs,NPF_like,whCAFs
CAFs,CAFs,NPF_like,uniCAFs
CAFs,PNS_glial,NPF_like,Glial_SOX10
CAFs,PNS_glial,NPF_like,Glial_SOX10low
CAFs,PNS_glial,NPF_like,Glial_MPZlow
CAFs,PNS_glial,NPF_like,Satellite
CAFs,PNS_glial,NPF_like,Myelinating_Schwann
CAFs,Epithelial,NPF_like,NE
CAFs,CAFs,whCAFs,uniCAFs
CAFs,PNS_glial,whCAFs,Glial_SOX10
CAFs,PNS_glial,whCAFs,Glial_SOX10low
CAFs,PNS_glial,whCAFs,Glial_MPZlow
CAFs,PNS_glial,whCAFs,Satellite
CAFs,PNS_glial,whCAFs,Myelinating_Schwann
CAFs,Epithelial,whCAFs,NE
CAFs,CAFs,pnCAFs,NPF_like
CAFs,CAFs,pnCAFs,whCAFs
CAFs,CAFs,pnCAFs,uniCAFs
CAFs,PNS_glial,pnCAFs,Glial_SOX10
CAFs,PNS_glial,pnCAFs,Glial_SOX10low
CAFs,PNS_glial,pnCAFs,Glial_MPZlow
CAFs,PNS_glial,pnCAFs,Satellite
CAFs,PNS_glial,pnCAFs,Myelinating_Schwann
CAFs,Epithelial,pnCAFs,NE
CAFs,PNS_glial,uniCAFs,Glial_SOX10
CAFs,PNS_glial,uniCAFs,Glial_SOX10low
CAFs,PNS_glial,uniCAFs,Glial_MPZlow
CAFs,PNS_glial,uniCAFs,Satellite
CAFs,PNS_glial,uniCAFs,Myelinating_Schwann
CAFs,Epithelial,uniCAFs,NE
CAFs,SMCs,NPF_like,pSMCs
CAFs,SMCs,NPF_like,vSMCs
CAFs,SMCs,NPF_like,Pericytes
CAFs,SMCs,whCAFs,pSMCs
CAFs,SMCs,whCAFs,vSMCs
CAFs,SMCs,whCAFs,Pericytes
CAFs,SMCs,uniCAFs,pSMCs
CAFs,SMCs,uniCAFs,vSMCs
CAFs,SMCs,uniCAFs,Pericytes
CAFs,SMCs,pnCAFs,pSMCs
CAFs,SMCs,pnCAFs,vSMCs
CAFs,SMCs,pnCAFs,Pericytes
Epithelial,CAFs,Luminal,NPF_like
Epithelial,CAFs,Luminal,whCAFs
Epithelial,CAFs,Luminal,uniCAFs
Epithelial,CAFs,Luminal,pnCAFs
Epithelial,Epithelial,Luminal,NE
